nf_value,count
ERIC INSURANCE COMPANY,4
NYC BOARD OF EDUCATION,4
PERMANENT GENERAL INSURANCE COMPANY,4
HARLEYSVILLE INSURANCE,4
MAIN STREET AMERICAN GROUP,4
ZURICH INSURANCE,4
National Liability and fire insurance,4
"HAGERTY INSURANCE AGENCY, LLC",4
FARM FAMILY INSURANCE,4
AMTRUST INSURANCE NF,3
EMPIRE FIRE & MARINE,3
SAFEWAY INSURANCE,3
EMPIRE STATE MUTUAL INSURANCE COMPANY,3
ST PAULS INSURANCE COMPANY,3
ELCO ADMINISTRATIVE SERVICES,3
"GERBER AND GERBER, LLP",3
MAPFRE INSURANCE COMPANY OF NEW YORK,3
PALISADES SAFETY AND INSURANCE ASSOCIATION,3
NORTH CAROLINA FARM BUREAU INS,3
CLAIMS SERVICES BUREAU,3
NYCHA,3
NEW JERSEY MANUFACTURERS INS,3
ATHENS CLAIMS ADMINISTRATOR (NF),3
Merchant Mutual Insurance,3
PALADIN MANAGED CARE SERVICES INC.,3
ZURICH INS CO,3
FARMINGTON CASUALITY COMPANY,3
COVENTRY WC SERVICES,3
LUX CREDIT CONSULTANTS LLC,3
Venture General Insurance,3
New York Central Fire Insurance Company,3
OCEAN HARBOR INSURANCE,3
NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURG,3
ACCEPTANCE INS.,3
SEDEWICK CMS,3
PERMANENT GENERAL IN,3
AMERICAN STATES PREFERRED INSURANCE COMPANY,3
HERTZ CLAIM MANAGEMENT INC,3
WORLD INSURANCE COMPANY,3
ENCOMPASS,3
CORVEL,3
Xceedance Insurance Com,3
DAIRYLAND AUTO INSURANCE COMPANY,3
UNIQUE INSURANCE COMPANY,3
AMICA MUTUAL INS. COM,3
"CNY OTHER THAN ED, HED WATER",3
Zurich American Insurance,3
MAIDSTONE INSURANCE COMPANY,2
Donegal Mutual Insurance Company,2
Brethren Mutual Insurance,2
SELECTIVE AUTO INSURANCE CO. OF NJ.,2
"SPARTAKOS, INC",2
GLOBAL LIBERTY INSURANCE  COMPANY OF NEW YORK,2
AUTO INJURY SOLUTIONS,2
IDS PROPERTY AND CASUALTY INSURANCE COMPANY,2
NEW JERSEY SKYLANDS INSURANCE ASSOCIATION,2
SUFFOLK COUNTY C/O VR MANAGEMENT SERVICES,2
AMERIPRISE INSURANCE COMPANY,2
AUTO ONE INSURANCE COMPANY,2
DRIVER NEW JERSEY INSURANCE COMPANY,2
LIGHTHOUSE CASUALTY COMPANY,2
LIBERTY INSURANCE,2
NYC LAW DEPT,2
NY CENTRAL MUTUAL FIRE INSURANCE,2
MK-HAGERTY PIP-UNDERWRITTEN BY ESSENTIA,2
STAR INDEMNITY & LIABILITY COMPANY,2
James River Insurance Company,2
ELCO ADMINISTRATIVE SVCS,2
DAIRYLAND/SENTRY INSURANCE,2
RENTAL INSURANCE SERVICES,2
AIG,2
COLUMBUS TRANSIT LLC,2
ASSIGNED RISK PLAN,2
General Insurance,2
AMERICAN HALLMARK INSURANCE COMPANY,2
Empower Insurance,2
AGENCY INSURANCE COMPANY,2
GREYHOUND LINES,2
HIROAD INSURNACE,2
QBE INSURANCE COMPANY,2
NY CENTRAL MUTUAL,2
NEW YORK CITY OFFICE OF CONTROLLER,2
SAFETY INSURANCE GROUP,2
ELCO ADMINISTRATIVE INSURANCE,2
CHUBB INS GROUP,2
"AAA INSURANCE COMPANY,",2
PV HOLDINGS CORPORATION,2
ZURICH NORTH AMERICA,2
METRO MILE INSURANCE,2
SAFEGUARD INSURANCE COMPANY,2
INDEMNITY INS OF NORTH AMERICA,2
EMPIRE BLUE CROSS BLUE SHEILD,2
THE GENERAL INSURANCE CO.,2
NJ Transit Bus Claims,2
TLC Insurance,2
CLAIM SERVICE BUREAU,2
RCS CLAIMS,2
ONEBEACON INSURANCE GROUP,2
DCAP NY AUTOMOBILE INS. CO.,2
HARLEYSVILLE INSURANCE COMPANY OF NEW JERSEY,2
CHUBB INSURANCE,2
NEW SOUTH INS,2
NYC OFFICE OF CONTROLLERS,2
NYPD,2
MOBILITAS INSURANCE COMPANY,2
STRALA INSURANCE,2
AMERICAN SERVICE INSURANCE COMPANY,1
GRANGE INSURANCE COMPANY,1
HERTZ CLAIMS,1
NJ Manufacturers,1
Zion Taxi Inc,1
HARVARD CAB CORP,1
ROMAN SERVICE CORP.,1
"BETTY TRANSIT, LLC",1
DOLLAR RENT A CAR,1
Janet Transit Inc,1
FIRST GROUP INSURANCE,1
NO FAULT SERVICE CORP,1
GROVE TAXI LLC,1
COOL RISK MANAGMENT SERVICES,1
CRINKLE CAB CORP,1
"ANN TAXI, INC.",1
MASSACHUSETTS HOMELAND INSURANCE COMPANY,1
CELK SERVICE CORP.,1
CLAIMS SERVICE BUREAU OF NEW YORK INC.,1
KADEREE M & G CORP.,1
GIAKAMARE LLC,1
KOLOTRIPIDES LLC,1
CRAWFORD AND COMPANY,1
GAROUTSOS CAB CORP.,1
PARK INSURANCE CLAIMS SERVICES,1
ALBEE TAXI CORPORATION,1
"BECRUX SERVICE, LLC",1
CHARTIS C/O YORK RISK SERVICES GROUP,1
PEERLESS INSURANCE,1
CORLIFE,1
GLOBE INDEMNITY COMPANY,1
WESCO INS C/O GAB ROBINS,1
AMERICAN MODERN INSURANCE GROUP,1
HERTZ CLAIM MANAGEMENT CORPORATION. D/B/A HERTZ RENT A CAR AND HERTZ CORPORATION,1
R M P G INS CO.,1
ONE BEACON INSURANCE CO.,1
EQUALITY INSURANCE COMPANY,1
CHAPEL INSURANCE SERVICE,1
TRISTAR RISK MANAGEMENT,1
NEW YORK LAW DEPT,1
PRESERVER INSURANCE COMPANY,1
Allied Interstate LLC,1
Professional Claims Bureau,1
"Credit Control Services, Inc.d/b/a Credit Collection Services (â??CCSâ?)",1
BROADSPIRE SERVICES,1
BGW II TAXI LLC,1
NY CENTRAL MUTUAL INSURANCE CO,1
COUNTRY-WIDE INSURANCE,1
ACA INSURANCE CO,1
NATIONAL CONTINENTA,1
AMERICAN MODERN INSURANCE COMPANY,1
ALLMERICA FINANCIAL ALLIANCE COMPANY,1
NGM,1
VANTAPRO SPECIALITY INSURANCE COMPANY,1
UNITED SERVICE AUTOMOBILE,1
ALLIED INSURANCE COMPANY,1
CENTRAL MUTUAL FIRE INSURANCE COMPANY,1
SPEEDWAY RENTALS INC,1
COUNTRY WAY,1
CoAction Specialty Insurance Group,1
ACCESS INS. CO.,1
WALMART ASSOCIATES,1
Test_Insurer 01,1
Berkshire Hathaway Specialty Insurance,1
AFFINITY INSURANCE,1
HERTZ CLAIMS MANAGEMENT,1
TREXIS INSURANCE,1
GUARD INSURANCE GROUP,1
AIG CASUALTY COMPANY,1
MARLOU CAB CORP,1
SELECTIVE INSURANCE  COMPANY,1
Redpoint Insurance Group,1
ALLIANCE NATIONAL INSURANCE COMPANY,1
ZURICH INS CO.,1
CLEARE COVER INSURANCE,1
Mitchell Internation,1
SiriusPoint America Ins Com,1
PDP GROUP,1
AIG INSURANCE COMPANY,1
UNITED CLAIMS SERVICES,1
GENERAL ASSURANCE COMPANY,1
NJ MANUFACTURERS INSURANCE CO,1
VISION RISK,1
ARBELLE INS. CO.,1
AU-IND-GuideOne Mutual - 11,1
MVP HEALTH PLAN CORP OFFICE,1
NATIONAL CASUALTY INSURANCE COMPANY,1
MAGGIES PARATRANSIT CORP C/O CLAIM SEVICE BUREAU OF NY INC,1
UTICA INTERNATIONAL INSURANCE GROUP,1
UNITED FINANTIAL CASUALTY INSURANCE COMPANY,1
"LUX CREDIT CONSULTANTS, LLC",1
NY STATE MUNICIPAL WC ALLIANCE,1
"WASHINGTON INTERNATIONAL INSURANCE COMPANY, C/O GE",1
Duzz Cab Corp,1
MERCHANTS INSURANCE COMPANY OF NEW HAMPSHIRE INC,1
VOYAGER INS COMPANY,1
NY TRANSIT AUTHORITY,1
General Assurance  Insurance Company,1
Lien,1
WellCare,1
HERTZ CLAIM MANAGEMENT,1
ATHENS INSURANCE,1
MEMIC INDEMNITY COMPANY,1
Bus Risk Retention Risk Group,1
"NORTHWELL HEALTH INC.,",1
NEW YORK CITY LAW DEPARTMENT,1
PRISM CONSULTANTS,1
PILGRIM INSURANCE COMPANY,1
GALLAGNER BASSETT SERVICES INS.,1
UTICA MUTUAL INSURANCE,1
AMERICAN TRANSIT INSURANCE,1
FIDELIS CARE INSURANCE,1
PRIME INSURANCE COMPANY,1
Old Republic Insurance Group C/O Pennsylvania Manufacturers Association,1
GREAT AMERICAN INSURANCE,1
HEALTH FIRST,1
PREMIER PRIZM SOLUTIONS,1
MARYLAND AUTOMOBILE INSURANCE COMPANY,1
DEPT. OF LABOR,1
Northbridge Financial Corporation,1
ENSURANCE INSURANCE COMPANY,1
CURE INSURANCE - NF,1
NYC CONTROLLERS,1
TRISURA,1
NEW JERSEY CURE INSURANCE COMPANY,1
STATE WIDE INSURANCE COMPANY,1
FRIEDLANDER GROUP (WC),1
ANTHEM,1
NIPPON LIFE INS COMP,1
PRO-RISK SOLUTIONS,1
COAST NATIONAL INS. CO.,1
SANITATION MEDICAL DIVISION,1
Test Company,1
NATIONAL FIRE INSURANCE COMPANY,1
