nf_value,count,tier,matched_canonical,brand,lev
AIG PROPERTY CASUALTY COMPANY,25,exact,AIG Property Casualty Company,,0
PHILADELPHIA INDEMNITY INSURANCE COMPANY,25,exact,Philadelphia Indemnity Insurance Company,,0
THE HARTFORD INSURANCE COMPANY,24,exact,Hartford Insurance Company,,0
Mid-Century Insurance Company,24,exact,Mid-Century Insurance Company,,0
Stillwater Property and Casualty Insurance Company,23,exact,Stillwater Property and Casualty Insurance Company,,0
TRAVELERS PERSONAL SECURITY INSURANCE COMPANY,22,exact,Travelers Personal Security Insurance Company,,0
PROTECTIVE INSURANCE COMPANY,21,exact,Protective Insurance Company,,0
GALLAGHER BASSETT,21,exact,Gallagher Bassett,,0
HARTFORD UNDERWRITERS INSURANCE COMPANY,20,exact,Hartford Underwriters Insurance Company,,0
Ocean Harbor Casualty Insurance Company,20,exact,Ocean Harbor Casualty Insurance Company,,0
Main Street America Assurance Company,19,exact,Main Street America Assurance Company,,0
AMGUARD INSURANCE COMPANY,18,exact,AmGUARD Insurance Company,,0
NATIONAL INDEMNITY COMPANY,18,exact,National Indemnity Company,,0
NEW YORK MUNICIPAL INSURANCE RECIPROCAL,18,exact,New York Municipal Insurance Reciprocal,,0
FOREMOST SIGNATURE INSURANCE COMPANY,17,exact,Foremost Signature Insurance Company,,0
NATIONWIDE INSURANCE COMPANY OF AMERICA,16,exact,Nationwide Insurance Company of America,,0
A. CENTRAL INSURANCE COMPANY,16,exact,A. Central Insurance Company,,0
CORVEL CORPORATION,16,exact,Corvel Corporation,,0
Foremost Property and Casualty Insurance Company,16,exact,Foremost Property and Casualty Insurance Company,,0
SUFFOLK COUNTY RISK MANAGEMENT,15,exact,Suffolk County Risk Management,,0
CSAA GENERAL INSURANCE COMPANY,15,exact,CSAA General Insurance Company,,0
"Michigan Millers Mutual Insurance Company,",15,exact,Michigan Millers Mutual Insurance Company,,0
"Integon National Insurance Company,",15,exact,Integon National Insurance Company,,0
AMERICAN FAMILY HOME INSURANCE COMPANY,14,exact,American Family Home Insurance Company,,0
Starr Indemnity & Liability Company,14,exact,Starr Indemnity & Liability Company,,0
INTEGON GENERAL INSURANCE CORPORATION,13,exact,Integon General Insurance Corporation,,0
PROGRESSIVE NORTHWESTERN INSURANCE COMPANY,13,exact,Progressive Northwestern Insurance Company,,0
