nf_value,count,tier,matched_canonical,brand,lev
NATIONAL LIABILITY FIRE INSURANCE COMPANY,7,unmatched,National Liability & Fire Insurance Company,4
Bristol West Ins Co,7,unmatched,Avis Rent a Car,12
ASSURANCE COMPANY OF AMERICA,7,unmatched,Insurance Company of the West,8
First Chicago Insurance Company,7,unmatched,First Colonial Insurance Company,7
NY BLACKCAR FUND,7,unmatched,Black Car Fund,4
TRITON CLAIMS MANAGEMENT,7,unmatched,Triton Insurance Company,14
ERIE INS CO.,7,unmatched,Avis Rent a Car,10
AMERICAN NATIONAL FIRE INSURANCE COMPANY,7,unmatched,American Automobile Insurance Company,9
BLUE STAR CLAIMS LLC,7,unmatched,Sedgwick Claims,9
PMA INSURANCE,7,unmatched,MTA Bus Company,11
DRIVE NEW JERSEY INSURANCE COMPANY,7,unmatched,New Jersey Re-Insurance Company,9
ELCO ADMINISTRATIVE SERVICES/ELRAC C/O RENTAL CLAIM SERVICES,7,unmatched,Swiss Re Corporate Solutions Elite Insurance Corporation,44
AIG CLAIMS SERVICE,7,unmatched,"Tokio Marine GRV Re, Inc.",13
GLOBAL LIBERTY INS. CO,6,unmatched,Colonial Surety Company,15
EMBLEM HEALTH,6,unmatched,Law Department,12
CHUBB (WC),6,unmatched,"CCMSI, Inc.",7
TSC DIRECT,6,unmatched,Law Department,9
AMERICAN INDEPENDENT INSURANCE COMPANY,6,unmatched,American European Insurance Company,8
INFINITY INDEMNITY INSURANCE COMPANY,6,unmatched,Infinity Casualty Insurance Company,7
NORTH CAROLINA CLAIMS OFFICE,6,unmatched,Northland Insurance Company,18
GRANADA INS CO,6,unmatched,Avis Rent a Car,13
AMERICAN UNITED TRANSPORTATION,6,unmatched,American Pet Insurance Company,18
AMICA INS,6,unmatched,"CCMSI, Inc.",7
NORTH AMERICAN RISK SERVICES,6,unmatched,Helmsman Management Services,17
HIGH POINT PROPERTY AND CASUALTY INSURANCE COMPANY,6,unmatched,Foremost Property and Casualty Insurance Company,8
COUNTRY-WIDE INSURACE,6,unmatched,StarStone Insurance SE,14
NATIONAL CONTINENTAL CO.,6,unmatched,National Casualty Company,14
MET LIFE AUTO INSURANCE COMPANY,6,unmatched,Infinity Auto Insurance Company,7
NYC COMPTROLLER'S OFFICE,6,unmatched,NYC Transit Authority,17
ROOT INSURANCE COMPANY,6,unmatched,Ascot Insurance Company,3
MIDVALE INDEMNITY COMPANY NAIC,6,unmatched,Allstate Indemnity Company,11
GALLAGHER BASSETT SRVS,6,unmatched,"Great Plains Casualty, Inc.",18
Amazon Logistics Insurance Company,6,unmatched,"American Pacific Insurance Company, Inc.",11
MTA BUS COMPANY / JFK DEPOT,6,unmatched,Insurance Company of the West,14
MITSUI SUMITOMO,6,unmatched,MTA Bus Company,12
UNITED AUTOMOBILE INS,6,unmatched,Corvel Corporation,17
CNA INSURANCE CO.,6,unmatched,"XL Insurance America, Inc.",9
HANOVER INS.,6,unmatched,Black Car Fund,10
K2 Claims Insurance Services,6,unmatched,Acadia Insurance Company,15
Sunz Insurance Company,6,unmatched,Star Insurance Company,3
Berkley Specialty Insurance Company,6,unmatched,Catlin Specialty Insurance Company,6
NEW YORK CITY OFFICE OF COMPTROLLERS,5,unmatched,The City of New York Office of The Comptroller,14
COUNTRYWAY INSURANCE,5,unmatched,"Tesla General Insurance, Inc.",12
ELCO ADMINISTRATION SERVICE,5,unmatched,Helmsman Management Services,17
AMERICAN UNITED TRANSPORTATION c/o ABRAMS & FENSTERMAN,5,unmatched,Farmers Direct Property and Casualty Insurance Company,41
GAINSCO INSURANCE COMPANY,5,unmatched,AMCO Insurance Company,4
NY CENTRAL MUTUAL FIRE INS,5,unmatched,A. Central Insurance Company,16
THE STATE INSURANCE FUND,5,unmatched,Star Insurance Company,8
KEMPER INSURANCE CO,5,unmatched,EmPRO Insurance Company,8
CARISK (WC),5,unmatched,"CCMSI, Inc.",7
FARM FAMILY CASUALTY,5,unmatched,"Great Plains Casualty, Inc.",10
SENTRY INS. CO.,5,unmatched,Avis Rent a Car,12
NYC LAW DEPARTMENT,5,unmatched,Law Department,4
AMERICAN INDEPENDENT INSURANCE,5,unmatched,American Pet Insurance Company,16
BERKSHIRE HATHAWAY GUARD,5,unmatched,Berkley Casualty Company,16
Assurant Insurance,5,unmatched,StarStone Insurance SE,10
Intact Insurance,5,unmatched,Generali - U.S. Branch,11
CON EDISON,5,unmatched,Law Department,11
STILL WATER INSURACE,5,unmatched,"Tesla General Insurance, Inc.",10
AMERICAN NATIONAL PROPERTY AND CASUALTY INSURANCE,5,unmatched,Amica Property and Casualty Insurance Company,20
STATE INSURANCE FUND,5,unmatched,Star Insurance Company,8
PROTECTIVE INS,5,unmatched,Sedgwick Claims,12
GENOTEQ CLAIMS INVESTIGATIONS C/O ACCIDENT FUND INSURANCE COMPANY OF AMERICA,5,unmatched,,99
American National United Farm Insurance,5,unmatched,American Sentinel Insurance Company,22
REPUBLIC INSURANCE COMPANY,5,unmatched,Old Republic Insurance Company,4
PERSONAL SERVICE INSURANCE CO,5,unmatched,Public Service Insurance Company,12
UTICA NATIONAL INS CO.,5,unmatched,"Tesla General Insurance, Inc.",15
FALLS LAKE INSURANCE,5,unmatched,"Tesla General Insurance, Inc.",10
BERKSHIRE HATHAWAY ASSURANCE CORPORATON,5,unmatched,Berkshire Hathaway Direct Insurance Company,15
ELEPHANT INSURANCE COMPANY,5,unmatched,Clermont Insurance Company,4
AUTO OWNERS INSURANCE,5,unmatched,"Tesla General Insurance, Inc.",9
UNITRIN SAFEGUARD INSURANCE COMPANY-NAIC-40703,5,unmatched,American Hallmark Insurance Company of Texas,21
ESURANCE INSURANCE COMPANY OF NEW JERSEY,5,unmatched,"Mercer Insurance Company of New Jersey, Inc.",6
TREXIS INSURANCE CORPORATION,4,unmatched,Cim Insurance Corporation,5
AMERIPRISE AUTO & HOME INS. CO.,4,unmatched,Amerisure Insurance Company,19
THE PHOENIX INS. CO.,4,unmatched,Avis Rent a Car,13
GERBER & GERBER INSURANCE CO.,4,unmatched,Crum and Forster Insurance Company,14
"THE AUTOMOBILE INSURANCE COMPANY OF HARTFORD,CT",4,unmatched,National Fire Insurance Company of Hartford,12
GLADES CLAIM MANAGEMENT COMPANY,4,unmatched,Blue Ridge Indemnity Company,16
James River Insurance,4,unmatched,"Tesla General Insurance, Inc.",10
DRIVERS INSURANCE COMPANY,4,unmatched,Bankers Insurance Company,4
TOKIO MARINE INSURANCE COMPANY,4,unmatched,GEICO Marine Insurance Company,4
SUFFOLK COUNTY TRANSIT,4,unmatched,Corvel Corporation,16
MARYLAND AUTOMOBILE INSURANCE FUND,4,unmatched,American Automobile Insurance Company,11
PERMANENT GENERAL ASSURANCE CORPORATION OF OHIO,4,unmatched,Plymouth Rock Assurance Corporation of New York,21
"GALLAGHER BASSETT SERVICES, INC.",4,unmatched,Helmsman Management Services,15
Country Financial Insurance Group,4,unmatched,First Financial Insurance Company,12
PILGRIM INS. CO.,4,unmatched,Avis Rent a Car,12
test11,4,unmatched,"CCMSI, Inc.",6
Home State County Mutual Ins Co.,4,unmatched,"RiverStone International Insurance, Inc.",21
AMERICAN FREEDOM INSURANCE COMPANY,4,unmatched,American Road Insurance Company,5
AMTRUST NORTH AMERICAN,4,unmatched,Amtrust North America (WC),3
CLAIMS SERVICE BUREAU,4,unmatched,"CUMIS Insurance Society, Inc.",14
OCEAN HARBER INS. CO.,4,unmatched,Gallagher Bassett,14
The Littleton Group,4,unmatched,Avis Rent a Car,13
SAFE INSURANCE COMPANY,4,unmatched,AIU Insurance Company,3
HERTZ CLAIM MANAGEMENT CORP,4,unmatched,Helmsman Management Services,15
AMICA INS. CO.,4,unmatched,Avis Rent a Car,10
ALLIANZ INSURANCE COMPANY,4,unmatched,Alamance Insurance Company,4
ASSIGNED RISK MANAGEMENT,4,unmatched,Executive Risk Indemnity Inc.,16
NYC BOARD OF EDUCATION,4,unmatched,Corvel Corporation,15
PERMANENT GENERAL INSURANCE COMPANY,4,unmatched,Patriot General Insurance Company,7
HARLEYSVILLE INSURANCE,4,unmatched,StarStone Insurance SE,12
MAIN STREET AMERICAN GROUP,4,unmatched,Amtrust North America (WC),16
SAFECO INS,4,unmatched,Black Car Fund,10
ZURICH INSURANCE,4,unmatched,Generali - U.S. Branch,12
THE AUTOMOBILE INSURANCE COMPANY OF HARTFORD,4,unmatched,National Fire Insurance Company of Hartford,9
ELRAC LLC,4,unmatched,"CCMSI, Inc.",5
National Liability and fire insurance,4,unmatched,National Union Fire Insurance Company,19
"HAGERTY INSURANCE AGENCY, LLC",4,unmatched,Bantry Insurance Company,10
FARM FAMILY INSURANCE,4,unmatched,"Tesla General Insurance, Inc.",12
AMTRUST INSURANCE NF,3,unmatched,StarStone Insurance SE,9
EMPIRE FIRE & MARINE,3,unmatched,Ironshore Indemnity Inc.,14
SAFEWAY INSURANCE,3,unmatched,Generali - U.S. Branch,11
EMPIRE STATE MUTUAL INSURANCE COMPANY,3,unmatched,Midstate Mutual Insurance Company,5
NEW YORK CITY COMPTROLLER,3,unmatched,GEICO Indemnity Company,17
ST PAULS INSURANCE COMPANY,3,unmatched,Compass Insurance Company,5
THE CITY OF NEW YORK OFFICE COMPTROLLER,3,unmatched,The City of New York Office of The Comptroller,3
ELCO ADMINISTRATIVE SERVICES,3,unmatched,Helmsman Management Services,16
"GERBER AND GERBER, LLP",3,unmatched,Generali - U.S. Branch,14
MAPFRE INSURANCE COMPANY OF NEW YORK,3,unmatched,Erie Insurance Company of New York,5
PALISADES SAFETY AND INSURANCE ASSOCIATION,3,unmatched,Erie and Niagara Insurance Association,17
NORTH CAROLINA FARM BUREAU INS,3,unmatched,Northland Insurance Company,19
CLAIMS SERVICES BUREAU,3,unmatched,"CUMIS Insurance Society, Inc.",15
NYCHA,3,unmatched,"CCMSI, Inc.",5
Farmers Property and Casualty Insurance Company F/K/A Metropolitan Property and Casualty Insurance C,3,unmatched,,99
AIU INSURANCE CO,3,unmatched,"XL Insurance America, Inc.",9
NEW JERSEY MANUFACTURERS INS,3,unmatched,New Jersey Re-Insurance Company,16
ATHENS CLAIMS ADMINISTRATOR (NF),3,unmatched,Encompass Indemnity Company,21
Merchant Mutual Insurance,3,unmatched,"Tesla General Insurance, Inc.",11
PALADIN MANAGED CARE SERVICES INC.,3,unmatched,Helmsman Management Services,12
ZURICH INS CO,3,unmatched,Avis Rent a Car,12
Allied World Specialty Insurance Company C/O Athens Administrators,3,unmatched,American Family Connect Property and Casualty Insurance Company,53
COVENTRY WC SERVICES,3,unmatched,Corvel Corporation,15
LUX CREDIT CONSULTANTS LLC,3,unmatched,Generali - U.S. Branch,16
MERCURY INSURANCE CO,3,unmatched,Mercer Insurance Company,7
Venture General Insurance,3,unmatched,"Tesla General Insurance, Inc.",6
New York Central Fire Insurance Company,3,unmatched,Merrimack Mutual Fire Insurance Company,11
OCEAN HARBOR INSURANCE,3,unmatched,"Tesla General Insurance, Inc.",12
NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURG,3,unmatched,"National Interstate Insurance Company of Hawaii, Inc.",17
ACCEPTANCE INS.,3,unmatched,Law Department,11
THE HANOVER INS. CO.,3,unmatched,Hannover Ruck SE,7
SEDEWICK CMS,3,unmatched,Sedgwick Claims,4
PERMANENT GENERAL IN,3,unmatched,"Tesla General Insurance, Inc.",14
AMERICAN STATES PREFERRED INSURANCE COMPANY,3,unmatched,American Southern Home Insurance Company,12
HERTZ CLAIM MANAGEMENT INC,3,unmatched,"Great Plains Casualty, Inc.",16
MERCURY AUTO INSURANCE,3,unmatched,Mercury Casualty Company,12
WORLD INSURANCE COMPANY,3,unmatched,RLI Insurance Company,3
ENCOMPASS,3,unmatched,"CCMSI, Inc.",6
CORVEL,3,unmatched,"CCMSI, Inc.",5
Xceedance Insurance Com,3,unmatched,Alamance Insurance Company,9
The Black Car Fund C/O TechSOURCE National,3,unmatched,ACE Fire Underwriters Insurance Company,27
DAIRYLAND AUTO INSURANCE COMPANY,3,unmatched,American Pet Insurance Company,9
UNIQUE INSURANCE COMPANY,3,unmatched,Union Insurance Company,3
AMICA MUTUAL INS. COM,3,unmatched,GEICO Casualty Company,14
ACE American Insurance Co. c/o ESIS Claims,3,unmatched,Zurich American Insurance Company of Illinois,19
"Rental Claims Services-ELRAC, LLC",3,unmatched,Central Insurance Company,18
"CNY OTHER THAN ED, HED WATER",3,unmatched,CSAA Insurance Exchange,19
Zurich American Insurance,3,unmatched,"Tesla General Insurance, Inc.",12
MAIDSTONE INSURANCE COMPANY,2,unmatched,Greystone Insurance Company,4
Donegal Mutual Insurance Company,2,unmatched,Amica Mutual Insurance Company,6
Brethren Mutual Insurance,2,unmatched,"Tesla General Insurance, Inc.",12
SELECTIVE AUTO INSURANCE CO. OF NJ.,2,unmatched,Selective Way Insurance Company,9
COUNTRY-WIDE INSURANCE Co.,2,unmatched,Countryway Insurance Company,9
"SPARTAKOS, INC",2,unmatched,"CCMSI, Inc.",9
GLOBAL LIBERTY INSURANCE  COMPANY OF NEW YORK,2,unmatched,Great American Insurance Company of New York,11
AUTO INJURY SOLUTIONS,2,unmatched,AMCO Insurance Company,14
IDS PROPERTY AND CASUALTY INSURANCE COMPANY,2,unmatched,ACE Property and Casualty Insurance Company,3
NEW JERSEY SKYLANDS INSURANCE ASSOCIATION,2,unmatched,Erie and Niagara Insurance Association,15
SUFFOLK COUNTY C/O VR MANAGEMENT SERVICES,2,unmatched,Oswego County Mutual Insurance Company,29
AMERIPRISE INSURANCE COMPANY,2,unmatched,Amerisure Insurance Company,4
AUTO ONE INSURANCE COMPANY,2,unmatched,AtHome Insurance Company,4
DRIVER NEW JERSEY INSURANCE COMPANY,2,unmatched,Farmers New Century Insurance Company,10
LIGHTHOUSE CASUALTY COMPANY,2,unmatched,Great West Casualty Company,8
LIBERTY INSURANCE,2,unmatched,Generali - U.S. Branch,11
NYC LAW DEPT,2,unmatched,Black Car Fund,10
NY CENTRAL MUTUAL FIRE INSURANCE,2,unmatched,Otsego Mutual Fire Insurance Company,17
MK-HAGERTY PIP-UNDERWRITTEN BY ESSENTIA,2,unmatched,Greater Midwestern Indemnity Company,28
James River Insurance Company,2,unmatched,Oak River Insurance Company,4
ELCO ADMINISTRATIVE SVCS,2,unmatched,AMCO Insurance Company,17
DAIRYLAND/SENTRY INSURANCE,2,unmatched,"Tesla General Insurance, Inc.",11
RENTAL INSURANCE SERVICES,2,unmatched,Central Insurance Company,10
AIG,2,unmatched,"CCMSI, Inc.",5
COLUMBUS TRANSIT LLC,2,unmatched,MTA Bus Company,12
METLIFE AUTO & HOME,2,unmatched,Dealers Assurance Company,16
ASSIGNED RISK PLAN,2,unmatched,Sedgwick Claims,12
General Insurance,2,unmatched,Generali - U.S. Branch,6
AMERICAN HALLMARK INSURANCE COMPANY,2,unmatched,American Builders Insurance Company,6
Empower Insurance,2,unmatched,Generali - U.S. Branch,12
AGENCY INSURANCE COMPANY,2,unmatched,AVEMCO Insurance Company,3
GREYHOUND LINES,2,unmatched,Sedgwick Claims,12
HIROAD INSURNACE,2,unmatched,Hannover Ruck SE,13
NY CENTRAL MUTUAL,2,unmatched,Avis Rent a Car,12
NEW YORK CITY OFFICE OF CONTROLLER,2,unmatched,The City of New York Office of The Comptroller,15
HARTFORD PROPERTY AND CASUALTY INSURANCE COMPANY,2,unmatched,Farmers Property and Casualty Insurance Company,5
SAFETY INSURANCE GROUP,2,unmatched,Bantry Insurance Company,10
ELCO ADMINISTRATIVE INSURANCE,2,unmatched,"Atradius Trade Credit Insurance, Inc.",17
CHUBB INS GROUP,2,unmatched,Avis Rent a Car,13
AMERICAN MERCURY INSURANCE COMPANY,2,unmatched,American Security Insurance Company,4
PV HOLDINGS CORPORATION,2,unmatched,LM Insurance Corporation,10
ZURICH NORTH AMERICA,2,unmatched,Amtrust North America (WC),9
METRO MILE INSURANCE,2,unmatched,"Tesla General Insurance, Inc.",10
SAFEGUARD INSURANCE COMPANY,2,unmatched,AmGUARD Insurance Company,3
New South Insurance Company D/B/A Gmac Insurance Company,2,unmatched,First American Property & Casualty Insurance Company,31
Unknown Or No Insurance,2,unmatched,"Tesla General Insurance, Inc.",13
INDEMNITY INS OF NORTH AMERICA,2,unmatched,Insurance Company of North America,13
EMPIRE BLUE CROSS BLUE SHEILD,2,unmatched,Clear Blue Insurance Company,20
BRISTOL WEST INSURANCE GROUP,2,unmatched,ASI Select Insurance Corp.,11
EMPIRE FIRE AND MARINE INSURANCE COMPANY C/O Gallagher Bassett,2,unmatched,Swiss Re Corporate Solutions America Insurance Corporation,48
ENTERPRISE RENTAL CAR,2,unmatched,Generali - U.S. Branch,14
THE GENERAL INSURANCE CO.,2,unmatched,"Seneca Insurance Company, Inc.",8
NJ Transit Bus Claims,2,unmatched,NYC Transit Authority,10
TLC Insurance,2,unmatched,Black Car Fund,11
CLAIM SERVICE BUREAU,2,unmatched,"XL Insurance America, Inc.",13
RCS CLAIMS,2,unmatched,Black Car Fund,11
ONEBEACON INSURANCE GROUP,2,unmatched,ASI Select Insurance Corp.,12
DCAP NY AUTOMOBILE INS. CO.,2,unmatched,Colony Insurance Company,20
SAFECO AUTO INSURANCE COMPANY,2,unmatched,Argonaut Insurance Company,6
HARLEYSVILLE INSURANCE COMPANY OF NEW JERSEY,2,unmatched,Harleysville Insurance Company of New York,5
SAFECO INS CO OF INDIANA,2,unmatched,AMCO Insurance Company,14
CHUBB INSURANCE,2,unmatched,Avis Rent a Car,13
NEW SOUTH INS,2,unmatched,Law Department,11
CONTINENTAL INDEMNITY CO,2,unmatched,Cincinnati Indemnity Company,11
NYC OFFICE OF CONTROLLERS,2,unmatched,NYC Transit Authority,18
NYPD,2,unmatched,"CCMSI, Inc.",5
MOBILITAS INSURANCE COMPANY,2,unmatched,"Hospitals Insurance Company, Inc.",5
STRALA INSURANCE,2,unmatched,Generali - U.S. Branch,10
AMERICAN SERVICE INSURANCE COMPANY,1,unmatched,American Empire Insurance Company,4
GRANGE INSURANCE COMPANY,1,unmatched,Gray Insurance Company,3
HERTZ CLAIMS,1,unmatched,Sedgwick Claims,7
NJ Manufacturers,1,unmatched,Law Department,13
Zion Taxi Inc,1,unmatched,"CCMSI, Inc.",8
HARVARD CAB CORP,1,unmatched,Black Car Fund,11
ROMAN SERVICE CORP.,1,unmatched,ARI Insurance Company,12
"BETTY TRANSIT, LLC",1,unmatched,Black Car Fund,11
AUTOMOBILE INSURANCE COMPANY OF HARTFORD,1,unmatched,National Fire Insurance Company of Hartford,9
MAYA ASSURANCE CO,1,unmatched,AIU Insurance Company,10
DOLLAR RENT A CAR,1,unmatched,Avis Rent a Car,6
INTERBORO INSURANCE CO,1,unmatched,StarStone Insurance SE,9
Janet Transit Inc,1,unmatched,Law Department,11
FIRST GROUP INSURANCE,1,unmatched,StarStone Insurance SE,11
NO FAULT SERVICE CORP,1,unmatched,ASI Select Insurance Corp.,13
GROVE TAXI LLC,1,unmatched,Black Car Fund,12
COOL RISK MANAGMENT SERVICES,1,unmatched,Helmsman Management Services,9
CRINKLE CAB CORP,1,unmatched,Avis Rent a Car,11
"ANN TAXI, INC.",1,unmatched,"CCMSI, Inc.",7
MASSACHUSETTS HOMELAND INSURANCE COMPANY,1,unmatched,Manufacturers Alliance Insurance Company,14
CELK SERVICE CORP.,1,unmatched,Avis Rent a Car,12
CLAIMS SERVICE BUREAU OF NEW YORK INC.,1,unmatched,"XL Insurance Company of New York, Inc.",14
KADEREE M & G CORP.,1,unmatched,"Tokio Marine GRV Re, Inc.",15
GIAKAMARE LLC,1,unmatched,"CCMSI, Inc.",8
KOLOTRIPIDES LLC,1,unmatched,Hannover Ruck SE,13
CRAWFORD AND COMPANY,1,unmatched,ARI Insurance Company,10
GAROUTSOS CAB CORP.,1,unmatched,Avis Rent a Car,13
Knightbrook Insurance Company c/o Knight Management Insurance Services,1,unmatched,,99
PARK INSURANCE CLAIMS SERVICES,1,unmatched,AXA XL Insurance Company Americas,15
ALBEE TAXI CORPORATION,1,unmatched,Corvel Corporation,9
"BECRUX SERVICE, LLC",1,unmatched,Black Car Fund,12
CHARTIS C/O YORK RISK SERVICES GROUP,1,unmatched,Charter Oak Fire Insurance Company,22
METLIFE INSURANCE CO,1,unmatched,Erie Insurance Company,9
PEERLESS INSURANCE,1,unmatched,Generali - U.S. Branch,11
CORLIFE,1,unmatched,"CCMSI, Inc.",5
GLOBE INDEMNITY COMPANY,1,unmatched,GEICO Indemnity Company,4
WESCO INS C/O GAB ROBINS,1,unmatched,WESCO Insurance Company,13
AMERICAN MODERN INSURANCE GROUP,1,unmatched,American Southern Insurance Company,10
HERTZ CLAIM MANAGEMENT CORPORATION. D/B/A HERTZ RENT A CAR AND HERTZ CORPORATION,1,unmatched,Pennsylvania Manufacturers Association Insurance Company TPA PMA Management Group,58
METLIFE AUTO AND HOME INSURANCE COMPANY,1,unmatched,Unitrin Auto and Home Insurance Company,6
R M P G INS CO.,1,unmatched,Avis Rent a Car,13
ONE BEACON INSURANCE CO.,1,unmatched,ASI Select Insurance Corp.,10
EQUALITY INSURANCE COMPANY,1,unmatched,Cerity Insurance Company,5
CHAPEL INSURANCE SERVICE,1,unmatched,"XL Insurance America, Inc.",9
TRISTAR RISK MANAGEMENT,1,unmatched,Executive Risk Indemnity Inc.,15
NEW YORK LAW DEPT,1,unmatched,Law Department,12
PRESERVER INSURANCE COMPANY,1,unmatched,Mercer Insurance Company,5
XL Insurance America C/O Gallagher Bassett Services,1,unmatched,Main Street America Protection Insurance Company,36
Allied Interstate LLC,1,unmatched,Avis Rent a Car,12
Professional Claims Bureau,1,unmatched,Cronus Insurance Company,19
"Credit Control Services, Inc.d/b/a Credit Collection Services (â??CCSâ?)",1,unmatched,Otsego County Patrons Co-operative Fire Relief Association,48
BROADSPIRE SERVICES,1,unmatched,Ironshore Indemnity Inc.,13
BGW II TAXI LLC,1,unmatched,Black Car Fund,11
NY CENTRAL MUTUAL INSURANCE CO,1,unmatched,Amica Mutual Insurance Company,13
21ST CENTURY AUTO INSURANCE,1,unmatched,21st Century Casualty Company,12
COUNTRY-WIDE INSURANCE,1,unmatched,StarStone Insurance SE,13
HALLMARK INSURANCE COMPANY C/O SEDGWICK,1,unmatched,Allied Insurance Company of America,14
ACA INSURANCE CO,1,unmatched,"XL Insurance America, Inc.",9
NATIONAL CONTINENTA,1,unmatched,Avis Rent a Car,14
AMERICAN MODERN INSURANCE COMPANY,1,unmatched,American Southern Insurance Company,4
ALLMERICA FINANCIAL ALLIANCE COMPANY,1,unmatched,First Financial Insurance Company,13
NGM,1,unmatched,"CCMSI, Inc.",4
HUDSON INS CO,1,unmatched,Avis Rent a Car,12
MERCURY INDEMNITY,1,unmatched,Ironshore Indemnity Inc.,8
UNITED SERVICE AUTOMOBILE,1,unmatched,Union Insurance Company,16
ALLIED INSURANCE COMPANY,1,unmatched,ACIG Insurance Company,4
CENTRAL MUTUAL FIRE INSURANCE COMPANY,1,unmatched,Liberty Mutual Fire Insurance Company,6
SPEEDWAY RENTALS INC,1,unmatched,Law Department,12
COUNTRY WAY,1,unmatched,Avis Rent a Car,11
CoAction Specialty Insurance Group,1,unmatched,Catlin Specialty Insurance Company,10
ACCESS INS. CO.,1,unmatched,Avis Rent a Car,11
WALMART ASSOCIATES,1,unmatched,Gallagher Bassett,13
Test_Insurer 01,1,unmatched,Law Department,13
Berkshire Hathaway Specialty Insurance,1,unmatched,"RiverStone International Insurance, Inc.",21
AFFINITY INSURANCE,1,unmatched,StarStone Insurance SE,12
HERTZ CLAIMS MANAGEMENT,1,unmatched,"Great Plains Casualty, Inc.",15
TREXIS INSURANCE,1,unmatched,Avis Rent a Car,12
GUARD INSURANCE GROUP,1,unmatched,AmGUARD Insurance Company,8
AIG CASUALTY COMPANY,1,unmatched,GEICO Casualty Company,4
SAFECO CLAIMS,1,unmatched,Sedgwick Claims,6
MARLOU CAB CORP,1,unmatched,Black Car Fund,11
COMPTROLLER INSURANCE,1,unmatched,"Tesla General Insurance, Inc.",11
SELECTIVE INSURANCE  COMPANY,1,unmatched,Select Insurance Company,3
Redpoint Insurance Group,1,unmatched,CorePointe Insurance Company,10
ALLIANCE NATIONAL INSURANCE COMPANY,1,unmatched,BITCO National Insurance Company,6
ZURICH INS CO.,1,unmatched,Avis Rent a Car,12
CLEARE COVER INSURANCE,1,unmatched,"Tesla General Insurance, Inc.",10
Mitchell Internation,1,unmatched,Corvel Corporation,12
SiriusPoint America Ins Com,1,unmatched,Amtrust North America (WC),16
PDP GROUP,1,unmatched,"CCMSI, Inc.",9
UNITED CLAIMS SERVICES,1,unmatched,Generali - U.S. Branch,16
GENERAL ASSURANCE COMPANY,1,unmatched,Central Insurance Company,4
NJ MANUFACTURERS INSURANCE CO,1,unmatched,Navigators Insurance Company,15
VISION RISK,1,unmatched,Avis Rent a Car,10
ARBELLE INS. CO.,1,unmatched,Avis Rent a Car,11
AU-IND-GuideOne Mutual - 11,1,unmatched,AIU Insurance Company,17
MVP HEALTH PLAN CORP OFFICE,1,unmatched,National Surety Corporation,19
NATIONAL CASUALTY INSURANCE COMPANY,1,unmatched,National Specialty Insurance Company,5
MAGGIES PARATRANSIT CORP C/O CLAIM SEVICE BUREAU OF NY INC,1,unmatched,"Housing Authority Property Insurance, A Mutual Company",40
UTICA INTERNATIONAL INSURANCE GROUP,1,unmatched,"State National Insurance Company, Inc.",13
UNITED FINANTIAL CASUALTY INSURANCE COMPANY,1,unmatched,United Frontier Mutual Insurance Company,10
"LUX CREDIT CONSULTANTS, LLC",1,unmatched,Generali - U.S. Branch,16
NY STATE MUNICIPAL WC ALLIANCE,1,unmatched,Bay State Insurance Company,18
"WASHINGTON INTERNATIONAL INSURANCE COMPANY, C/O GE",1,unmatched,Markel International Insurance Company Limited,15
Duzz Cab Corp,1,unmatched,Black Car Fund,10
Greenwich Insurance Company c/o Constitution State Services,1,unmatched,Pennsylvania Manufacturers' Association Insurance Company,46
SAFECO INS CO OF ILLINOIS,1,unmatched,AMCO Insurance Company,17
MERCHANTS INSURANCE COMPANY OF NEW HAMPSHIRE INC,1,unmatched,Indemnity Insurance Company of North America,17
VOYAGER INS COMPANY,1,unmatched,MTA Bus Company,8
American Zurich Insurance Company c/o Sedgwick Claims Mgmt. Services,1,unmatched,American Family Connect Property and Casualty Insurance Company,48
ESURANCE INSURANCE CO,1,unmatched,StarStone Insurance SE,9
NEW SOUTH INS. CO.,1,unmatched,Avis Rent a Car,13
AVIS BUDGET RENT A CAR,1,unmatched,ASI Select Insurance Corp.,17
NYCTA C\O CORVEL CORPORATION,1,unmatched,National Surety Corporation,12
General Assurance  Insurance Company,1,unmatched,Infinity Assurance Insurance Company,8
SENTINEL INSURANCE COMPANY,1,unmatched,Central Insurance Company,4
Lien,1,unmatched,"CCMSI, Inc.",5
WellCare,1,unmatched,"CCMSI, Inc.",7
HERTZ CLAIM MANAGEMENT,1,unmatched,"Great Plains Casualty, Inc.",16
ATHENS INSURANCE,1,unmatched,Avis Rent a Car,12
MEMIC INDEMNITY COMPANY,1,unmatched,GEICO Indemnity Company,3
Bus Risk Retention Risk Group,1,unmatched,ASI Select Insurance Corp.,20
"NORTHWELL HEALTH INC.,",1,unmatched,Sedgwick Claims,13
NEW YORK CITY LAW DEPARTMENT,1,unmatched,New York City Transit Authority,13
PRISM CONSULTANTS,1,unmatched,Avis Rent a Car,13
PILGRIM INSURANCE COMPANY,1,unmatched,ARI Insurance Company,5
GALLAGNER BASSETT SERVICES INS.,1,unmatched,Helmsman Management Services,18
UTICA MUTUAL INSURANCE,1,unmatched,"Tesla General Insurance, Inc.",9
AVIS BUDGET CLAIMS,1,unmatched,Avis Rent a Car,10
FIDELIS CARE INSURANCE,1,unmatched,"Tesla General Insurance, Inc.",12
